id,nationalPhoneNumber,formattedAddress,rating,websiteUri,regularOpeningHours,displayName,primaryType,editorialSummary,reviews
ChIJ2e-AEyMzK4gRC3Ta0xpNT2s,(416) 322-7111,"2363 Yonge St, Toronto, ON M4P 2C8, Canada",4.3,https://www.facebook.com/marsuptown/,"['Monday: 7:00\u202fAM\u2009–\u20094:00\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u20094:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u20094:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u20099:00\u202fPM', 'Saturday: 7:00\u202fAM\u2009–\u20099:00\u202fPM', 'Sunday: 7:00\u202fAM\u2009–\u20094:00\u202fPM']",Mars Diner,american_restaurant,Straightforward eatery with an old-school vibe for diner-style fare from eggs to burgers to pie.,"This restaurant is a beloved family spot that offers a delightful retro experience reminiscent of 60s-style American diners. Known for its fantastic value, the meals are generously portioned and freshly prepared in an open kitchen, making it a cozy choice for breakfast and brunch. Guests rave about the perfect over-easy eggs, delectable home fries, and succulent sausage, all complemented by some of the best pancakes they’ve ever tasted—light and fluffy without being overly sweet. For those seeking savory options, the eggs benedict garners high praise as well. The inviting atmosphere, combined with a classic diner vibe enhanced by a nostalgic music playlist, creates a charming setting for dining. Additionally, fresh fruit toppings on the waffles add a touch of brightness to the sweet offerings. With excellent service and a welcoming ambiance, this restaurant stands out as the perfect place to enjoy a hearty and delicious morning meal."
ChIJv6F6Usw0K4gRQt20A8k3Jws,(416) 947-7000,"99 Queen St E, Toronto, ON M5C 1S1, Canada",4.5,https://thecarbonbar.ca/,"['Monday: 4:00\u2009–\u200910:00\u202fPM', 'Tuesday: 4:00\u2009–\u200910:00\u202fPM', 'Wednesday: 4:00\u2009–\u200910:00\u202fPM', 'Thursday: 4:00\u2009–\u200911:00\u202fPM', 'Friday: 4:00\u2009–\u200911:00\u202fPM', 'Saturday: 4:00\u2009–\u200911:00\u202fPM', 'Sunday: 4:00\u2009–\u200910:00\u202fPM']",The Carbon Bar,barbecue_restaurant,"BBQ, Southern-inspired fare & cocktails in a casual space with artsy decor & plush banquettes.","This restaurant delivers an exceptional dining experience with a diverse menu that caters to various tastes. For dinner, diners can enjoy standouts like the perfectly crunchy KFC (Korean Fried Cauliflower) and the melt-in-your-mouth smoked beef brisket, complemented by a generous portion of coleslaw and flavorful fries. The carbon burger also received positive remarks for its substantial size, although some found it slightly dry. As for drinks, both the sweet Electric Island and the delicious Black Mamba Margarita received high praise. Dessert lovers should not miss the fantastic derby pie, which pairs beautifully with chantilly cream for a harmonious finish. While the food was generally excellent, some reviews noted minor issues, such as overcooked octopus and slower service during peak hours. Overall, the restaurant offers a comfortable atmosphere that's ideal for groups or romantic dinners, making it a place worth revisiting for its delectable offerings and attentive service."
ChIJK2lqhdM0K4gRRLfXBys5VBc,(416) 585-2121,"144 Front St W, Toronto, ON M5J 2L7, Canada",4.2,https://jackastors.com/?locationId=937,"['Monday: 11:00\u202fAM\u2009–\u20091:00\u202fAM', 'Tuesday: 11:00\u202fAM\u2009–\u20091:00\u202fAM', 'Wednesday: 11:00\u202fAM\u2009–\u20091:00\u202fAM', 'Thursday: 11:00\u202fAM\u2009–\u20091:00\u202fAM', 'Friday: 11:00\u202fAM\u2009–\u20092:00\u202fAM', 'Saturday: 11:00\u202fAM\u2009–\u20092:00\u202fAM', 'Sunday: 11:00\u202fAM\u2009–\u20091:00\u202fAM']",Jack Astor's Bar & Grill Front Street,bar,,"At Jack Astors, diners can expect a lively atmosphere, especially on sunny days when the patio fills up quickly. Guests enjoyed a variety of dishes, including nachos that received praise for their ample portions and flavor-packed chicken parmigiana that was well-received. The Smokey BBQ hamburger was also popular, though it fell short for some who preferred their meat cooked rare. Service was highlighted as a key element of the experience, with one server, Grace, receiving recognition for her attentiveness and knowledge of the menu. While many dishes like the chicken fingers and burgers were praised for their freshness and taste, there were mixed reviews about the quality of the pasta, which some found undercooked. Overall, while some felt prices had risen without corresponding quality improvements over the years, the restaurant still serves as a good spot for a casual meal or to catch a game. The atmosphere and attentive service, however, keep customers coming back for more."
ChIJLQ6-gxo1K4gRYJJXt3eOS_I,(647) 259-6825,"111 Princes' Blvd 2nd floor, Toronto, ON M6K 3C3, Canada",4.1,https://rosessocial.ca/,"['Monday: 7:00\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 7:00\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: 7:00\u202fAM\u2009–\u200910:00\u202fPM']",Roses Social,american_restaurant,,"Dining experiences at the restaurant have been mixed, particularly during brunch and lunch hours. Popular dishes attempted by guests included the French omelette—often mentioned for its generous portion but lacking in flavor unless seasoned appropriately—and the Supreme pancakes, which received high praise for their unique texture and delicious toppings. However, the avocado toast was a disappointment for one reviewer, criticized for its simplicity and value, as it consisted of a single slice of bread with cold avocado and eggs. Service efficiency seemed inconsistent, with guests reporting long waits and a lack of attentive staff, which detracted from the overall experience. Some enjoyed their meals as a celebratory occasion, complete with complimentary dessert and attentive service, while others faced significant delays and order mix-ups, particularly with a kale Caesar salad that was overly dressed and inaccurately prepared. Overall, while the food quality showed potential, improvements in service responsiveness and consistency were recommended for a more enjoyable dining experience. Many noted that the ambiance and views were pleasant, making it a potentially great spot to enjoy a meal if operational issues are addressed."
ChIJt7OCSivL1IkRoRuVeJswvx4,(416) 815-1111,"15 York Street Corner of York and, Bremner Blvd, Toronto, ON M5J 0A3, Canada",4.1,http://www.e11even.ca/,"['Monday: 11:30\u202fAM\u2009–\u200911:00\u202fPM', 'Tuesday: 11:30\u202fAM\u2009–\u200911:00\u202fPM', 'Wednesday: 11:30\u202fAM\u2009–\u200911:00\u202fPM', 'Thursday: 11:30\u202fAM\u2009–\u200911:00\u202fPM', 'Friday: 11:30\u202fAM\u2009–\u200911:00\u202fPM', 'Saturday: 11:30\u202fAM\u2009–\u200911:00\u202fPM', 'Sunday: Closed']",e11even,restaurant,"Updated American classics in a sophisticated space, plus a 3,200-bottle wine list shared via iPad.","The restaurant offers a mix of dining experiences, but customer feedback has been quite mixed. Some diners enjoyed dishes like the cheeseburger with truffle fries, calling the food ""pretty good,"" while others were disappointed with their choices, such as the bland chicken Caesar salad and the cold fried calamari appetizer. The salmon, paired with a Caesar salad, failed to impress due to the quality of the lettuce and dressing. Though the dessert received praise and certain drinks like spirit-free cocktails were noted as good, overall service issues were prevalent, with reports of lackluster attention from waitstaff, especially during busy times. Many found the prices steep, with some feeling the offerings did not justify the cost, as highlighted by a comparison to budget-friendly options like Wendy's. While the atmosphere was described as pleasant and the staff friendly at times, poor experiences seem to overshadow the positives. For those considering brunch or dinner here, it might be worth weighing the reviews carefully before visiting."
ChIJ8RCyFDLL1IkR-81FCo0715w,(416) 947-9500,"50 King St E, Toronto, ON M5C 1E5, Canada",4.4,https://bigsmokeburger.com/locations/?utm_source=G&utm_medium=LPM&utm_campaign=MTY,"['Monday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Tuesday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Wednesday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 11:00\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 11:00\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: 11:00\u202fAM\u2009–\u20099:00\u202fPM']",Big Smoke Burger,hamburger_restaurant,"Creative burgers, hand-cut fries & shakes round out the menu at this chain with housemade sauces.","Big Smoke Burger is a popular burger joint in Toronto known for its variety of delicious burgers, including the signature Big Smoke burger, which many patrons highly recommend. The casual setting makes it a great spot for a quick meal, although service can be hit or miss. Some customers rave about the tasty poutine and onion rings as perfect complements to their meals, while others have experienced longer wait times for their orders, leading to disappointment. While many diners have enjoyed their burgers and shakes, describing the shakes as thick and flavorful, some have noted issues with the quality of the food, such as dry burgers and soggy fries. Despite high expectations fueled by positive reviews, the atmosphere for dining in has not impressed everyone, suggesting that it may be better suited for fast food rather than a sit-down experience. Overall, Big Smoke Burger offers a range of satisfying options for a casual lunch or dinner, but it has room for improvement, particularly in service consistency and food presentation."
ChIJWYMdhdM0K4gRbMQqRvZfb3c,(416) 977-8840,"146 Front St W, Toronto, ON M5J 1G2, Canada",4.2,https://theloosemoose.ca/,"['Monday: 11:30\u202fAM\u2009–\u200912:00\u202fAM', 'Tuesday: 11:30\u202fAM\u2009–\u200912:00\u202fAM', 'Wednesday: 11:30\u202fAM\u2009–\u20091:00\u202fAM', 'Thursday: 11:30\u202fAM\u2009–\u20091:00\u202fAM', 'Friday: 11:30\u202fAM\u2009–\u20092:00\u202fAM', 'Saturday: 11:30\u202fAM\u2009–\u20092:00\u202fAM', 'Sunday: 11:30\u202fAM\u2009–\u200912:00\u202fAM']",Loose Moose / Antler Room,bar,"2nd-floor spot with rustic tables, vintage signs & many beers on tap, plus tacos, burgers & snacks.","The restaurant offers a lively and casual atmosphere, making it a great spot for various occasions such as dinner and brunch. Guests have enjoyed a range of dishes including tender calamari, buffalo chicken sandwiches, and hearty burgers like the Notorious MAC and Woody burgers. Appetizers like guacamole and chips, as well as loaded truffle fries, received positive feedback, though some found the fries too soft. Drinks are a highlight, with refreshing options such as a lemonade cocktail and an amazing Gizzle cocktail. While service is generally quick and friendly, a few reviews mention inconsistent waitstaff experiences. The restaurant is noted for accommodating larger groups effectively, although it may not be very kid-friendly due to a lack of menu options for younger guests. Overall, diners left satisfied with their meals and the overall experience, indicating they would be likely to return. Whether for a casual meal or drinks while watching a game, this restaurant seems to deliver enjoyable dining experiences."
ChIJ2xFnwP00K4gR_88NWMzyiyY,(416) 588-1936,"994 Queen St W, Toronto, ON M6J 1H1, Canada",4.4,http://frankiesdiner.ca/,"['Monday: 9:30\u202fAM\u2009–\u20097:00\u202fPM', 'Tuesday: 9:30\u202fAM\u2009–\u20097:00\u202fPM', 'Wednesday: 9:30\u202fAM\u2009–\u20097:00\u202fPM', 'Thursday: 9:30\u202fAM\u2009–\u20097:00\u202fPM', 'Friday: 9:30\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 8:30\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: 8:30\u202fAM\u2009–\u20094:30\u202fPM']",Frankie's Diner,hamburger_restaurant,"Burgers, salads & sandwiches are served at this casual neighborhood local serving draught beers.","Frankie’s is a charming spot that offers a delightful dining experience for breakfast, brunch, and lunch. Guests have praised the classic chicken club combo with fries, highlighting its freshness and deliciousness. Popular breakfast choices include the smoked salmon eggs Benny and a flavorful original breakfast with French toast. Another favorite is the Sweet & Savory eggs Benny, served on French toast topped with pulled pork and Hollandaise sauce. The Clubhouse Plater, which comes with crispy fries and coleslaw, is also a standout dish. Reviewers appreciate the generous portion sizes and the quality of the food, though service can be a bit slow during busy times. They’ve noted that the environment is homey and the prices are very reasonable for the area. Overall, customers have expressed a strong desire to return, eager to try more items from the menu like the banquet burger."
ChIJ9SQ-ZDc1K4gRoJJ0P6iCZDs,(416) 588-3456,"106 John St Unit 2, Toronto, ON M5H 1X9, Canada",4.1,https://burgersnfriesforever.com/,"['Monday: 11:30\u202fAM\u2009–\u200912:00\u202fAM', 'Tuesday: 11:30\u202fAM\u2009–\u200912:00\u202fAM', 'Wednesday: 11:30\u202fAM\u2009–\u200912:00\u202fAM', 'Thursday: 11:30\u202fAM\u2009–\u20092:00\u202fAM', 'Friday: 11:30\u202fAM\u2009–\u20092:00\u202fAM', 'Saturday: 11:30\u202fAM\u2009–\u20092:00\u202fAM', 'Sunday: 11:30\u202fAM\u2009–\u20092:00\u202fAM']",Burgers n' Fries Forever,restaurant,,"Burgers n' Fries Forever is a popular spot in the city known for its excellent selection of burgers, served throughout lunch and dinner. The lunch specials are particularly well-liked, featuring fresh and juicy burgers like the Birria and Tikka burgers, as well as the Shrooms burger, which comes loaded with mushrooms and aioli, and the Melt burger with thick bacon. Diners rave about the generous portions of flavorful fries and the phenomenal poutine. While the ambiance is modern and inviting, some patrons have noted that better ventilation or air conditioning is needed due to the heat inside. The menu also includes other tempting options like the Picante burger, which boasts a flavorful smash-style patty, and the Nashville hot chicken sandwich, notable for its crunchy texture and just the right amount of heat. With great prices, a diverse dipping sauce selection, and a craft beer menu, this restaurant offers a satisfying and quick dining experience. The staff is friendly and attentive, ensuring guests have an enjoyable time, making it a go-to destination for burger enthusiasts."
ChIJvdnJ9hYzK4gRn2E8-AY6Cc4,(416) 487-1974,"233 Eglinton Ave W, Toronto, ON M4R 1A9, Canada",4.4,,"['Monday: Closed', 'Tuesday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: 8:00\u202fAM\u2009–\u200910:00\u202fPM']",The Burger Shack,hamburger_restaurant,"Long-time no-frills grill serving up classic burgers, souvlaki & real milkshakes.","Burger Shack is a nostalgic burger joint that has maintained its charm and quality over the years, making it a beloved spot for both new customers and long-time patrons. Known for their grilled burgers, including the acclaimed banquet burger and classic cheeseburger, they serve them with a delicious smoky flavor thanks to their open flame-broiler. The menu doesn't stop at burgers; steak and tender chicken souvlaki are also available, as well as scrumptious sides like thick, crispy onion rings and hearty poutine. The atmosphere channels a retro 1970s diner vibe, enhancing the classic dining experience. Many patrons recall fond memories associated with the restaurant, often visiting for dinner or lunch with family. Although the poutine might not stand out, the burgers and onion rings are frequently highlighted as must-tries. Overall, Burger Shack remains a cherished institution, known for its unpretentious setting and commitment to quality ingredients. Whether it's a casual visit or a trip down memory lane, this spot continues to draw in a loyal crowd with its timeless offerings."
