id,queries
ChIJ2e-AEyMzK4gRC3Ta0xpNT2s,looking for a retro diner experience with breakfast options
ChIJ2e-AEyMzK4gRC3Ta0xpNT2s,want a cozy place for brunch with generous portions
ChIJ2e-AEyMzK4gRC3Ta0xpNT2s,craving light and fluffy pancakes in a nostalgic setting
ChIJ2e-AEyMzK4gRC3Ta0xpNT2s,interested in excellent service and welcoming ambiance for morning meals
ChIJ2e-AEyMzK4gRC3Ta0xpNT2s,seeking savory dishes like eggs benedict and sausage
ChIJv6F6Usw0K4gRQt20A8k3Jws,Looking for a barbecue restaurant with Southern-inspired dishes and a casual atmosphere.
ChIJv6F6Usw0K4gRQt20A8k3Jws,Desiring a place with comfort food like smoked beef brisket and Korean Fried Cauliflower.
ChIJv6F6Usw0K4gRQt20A8k3Jws,Searching for a restaurant suitable for both group dinners and romantic evenings.
ChIJv6F6Usw0K4gRQt20A8k3Jws,Interested in trying unique cocktails like the Electric Island and Black Mamba Margarita.
ChIJv6F6Usw0K4gRQt20A8k3Jws,"Seeking dessert options, specifically something like derby pie with chantilly cream."
ChIJK2lqhdM0K4gRRLfXBys5VBc,Looking for a lively bar atmosphere with outdoor seating on sunny days.
ChIJK2lqhdM0K4gRRLfXBys5VBc,Seeking a place with great service and knowledgeable staff for a casual meal.
ChIJK2lqhdM0K4gRRLfXBys5VBc,Wanting generous portions of flavorful nachos and chicken parmigiana.
ChIJK2lqhdM0K4gRRLfXBys5VBc,Interested in a bar that has fresh burgers and chicken fingers.
ChIJK2lqhdM0K4gRRLfXBys5VBc,Searching for a spot to watch a game with mixed reviews on pasta quality.
ChIJLQ6-gxo1K4gRYJJXt3eOS_I,Suggest an American restaurant for brunch with generous portions but be aware of flavor seasoning.
ChIJLQ6-gxo1K4gRYJJXt3eOS_I,Recommend a place with praised Supreme pancakes for lunch and pleasant ambiance.
ChIJLQ6-gxo1K4gRYJJXt3eOS_I,Find a restaurant that has had mixed reviews for avocado toast and service responsiveness.
ChIJLQ6-gxo1K4gRYJJXt3eOS_I,Look for a dining spot that offers complimentary dessert during special occasions.
ChIJLQ6-gxo1K4gRYJJXt3eOS_I,Identify an American restaurant with good views but reports of long waits and order mix-ups.
ChIJt7OCSivL1IkRoRuVeJswvx4,Looking for a restaurant with updated American classics and a sophisticated atmosphere.
ChIJt7OCSivL1IkRoRuVeJswvx4,"Desiring a place to enjoy a cheeseburger and truffle fries, despite mixed reviews."
ChIJt7OCSivL1IkRoRuVeJswvx4,Seeking a brunch spot with good drinks but cautious about the service quality.
ChIJt7OCSivL1IkRoRuVeJswvx4,"Wanting a restaurant with a pleasant atmosphere and a large wine selection, but concerned about high prices."
ChIJt7OCSivL1IkRoRuVeJswvx4,"Searching for a dining experience with a good dessert menu, while being aware of recent customer service issues."
ChIJ8RCyFDLL1IkR-81FCo0715w,Looking for a casual spot for creative burgers with a quick meal vibe.
ChIJ8RCyFDLL1IkR-81FCo0715w,Interested in a place with delicious shakes and hand-cut fries to complement my burger.
ChIJ8RCyFDLL1IkR-81FCo0715w,Seeking a burger restaurant in Toronto known for signature burgers and tasty poutine.
ChIJ8RCyFDLL1IkR-81FCo0715w,Searching for a burger joint that offers a range of satisfying options for a casual lunch or dinner.
ChIJ8RCyFDLL1IkR-81FCo0715w,In need of a restaurant with a casual atmosphere but doesn't necessarily excel in service quality.
ChIJWYMdhdM0K4gRbMQqRvZfb3c,Looking for a lively bar atmosphere with rustic decor and a good selection of beers on tap.
